Linux 4.4.0-142-generic (ubuntu) 	2019年07月01日 	_x86_64_	(1 CPU)

00時51分39秒  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
00時51分49秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分50秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分50秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分50秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分51秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分51秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分51秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分52秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分52秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分52秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分53秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分53秒       sda      1.98      0.00     23.76     12.00      0.00      2.00      2.00      0.40

00時51分53秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分54秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分54秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分54秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分55秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分55秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分55秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分56秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分56秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分56秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分57秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分57秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時51分57秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分58秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分58秒       sda    380.61    171.43 752473.47   1977.46      5.25     13.96      1.23     46.94

00時51分58秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時51分59秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時51分59秒       sda    642.27    107.22 1267101.03   1973.02     10.48     16.49      1.25     80.00

00時51分59秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分00秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分00秒       sda      1.00      8.00      0.00      8.00      0.00      0.00      0.00      0.00

00時52分00秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分01秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分01秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分01秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分02秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分02秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分02秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分03秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分03秒       sda      4.04      0.00    177.78     44.00      0.00      1.00      1.00      0.40

00時52分03秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分04秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分04秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分04秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分05秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分05秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分05秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分06秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分06秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分06秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分07秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分07秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分07秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分08秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分08秒       sda      2.02      0.00     24.24     12.00      0.00      0.00      0.00      0.00

00時52分08秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分09秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分09秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

00時52分09秒       DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
00時52分10秒     loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00時52分10秒       sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00



平均値:        DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
平均値:      loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
平均値:        sda     60.85     16.79 119476.73   1963.88      0.91     15.05      1.20      7.33
2019年  7月  1日 月曜日 00:51:58 JST: start write (file creation)
2019年  7月  1日 月曜日 00:51:59 JST: end write
#!/bin/bash

rm -f testfile

echo "$(date): start write (file creation)"
dd if=/dev/zero of=testfile bs=1M count=1K
echo "$(date): end write"

rm -f testfile
