estimating workload which takes just one milisecond
end estimation
0	2	1
0	3	2
0	4	3
0	5	4
0	6	5
0	7	6
0	8	7
0	9	8
0	20	9
0	21	10
0	22	11
0	24	12
0	25	13
0	26	14
0	27	15
0	40	16
0	41	17
0	42	18
0	43	19
0	44	20
0	46	21
0	57	22
0	59	23
0	60	24
0	61	25
0	62	26
0	63	27
0	64	28
0	66	29
0	67	30
0	68	31
0	69	32
0	79	33
0	80	34
0	81	35
0	87	36
0	88	37
0	89	38
0	90	39
0	91	40
0	93	41
0	94	42
0	100	43
0	101	44
0	110	45
0	111	46
0	112	47
0	113	48
0	114	49
0	115	50
0	116	51
0	118	52
0	119	53
0	125	54
0	126	55
0	127	56
0	129	57
0	140	58
0	141	59
0	142	60
0	143	61
0	144	62
0	145	63
0	146	64
0	147	65
0	149	66
0	160	67
0	161	68
0	162	69
0	163	70
0	164	71
0	165	72
0	167	73
0	168	74
0	169	75
0	179	76
0	181	77
0	182	78
0	183	79
0	184	80
0	185	81
0	186	82
0	187	83
0	188	84
0	200	85
0	201	86
0	202	87
0	203	88
0	204	89
0	205	90
0	206	91
0	207	92
0	208	93
0	218	94
0	219	95
0	220	96
0	221	97
0	222	98
0	223	99
0	224	100
1	10	1
1	11	2
1	12	3
1	14	4
1	15	5
1	16	6
1	17	7
1	18	8
1	19	9
1	28	10
1	29	11
1	30	12
1	31	13
1	33	14
1	34	15
1	35	16
1	37	17
1	38	18
1	47	19
1	48	20
1	49	21
1	51	22
1	52	23
1	53	24
1	54	25
1	55	26
1	56	27
1	70	28
1	71	29
1	73	30
1	74	31
1	75	32
1	77	33
1	78	34
1	83	35
1	84	36
1	85	37
1	86	38
1	95	39
1	96	40
1	97	41
1	98	42
1	102	43
1	103	44
1	105	45
1	106	46
1	107	47
1	108	48
1	109	49
1	120	50
1	121	51
1	122	52
1	124	53
1	125	54
1	131	55
1	132	56
1	133	57
1	134	58
1	135	59
1	137	60
1	138	61
1	139	62
1	150	63
1	151	64
1	152	65
1	153	66
1	154	67
1	156	68
1	157	69
1	158	70
1	159	71
1	170	72
1	171	73
1	172	74
1	173	75
1	175	76
1	176	77
1	177	78
1	178	79
1	190	80
1	191	81
1	192	82
1	193	83
1	194	84
1	195	85
1	197	86
1	198	87
1	199	88
1	210	89
1	212	90
1	213	91
1	214	92
1	215	93
1	216	94
1	225	95
1	226	96
1	227	97
1	229	98
1	230	99
1	232	100
